region;epidcode;population;growthrate
Alaotra Mangoro;MAG;1054958;
Amoron I Mania;MAG;734413;
Analamanga;MAG;3439589;
Analanjirofo;MAG;1063197;
Androy;MAG;753832;
Anosy;MAG;690019;
Atsimo Andrefana;MAG;1352456;
Atsimo Atsinanana;MAG;923068;
Atsinanana;MAG;1305132;
Betsiboka;MAG;301480;
Boeny;MAG;821356;
Bongolava;MAG;469769;
Diana;MAG;719000;
Haute Matsiatra;MAG;1231696;
Ihorombe;MAG;320775;
Itasy;MAG;752703;
Melaky;MAG;297446;
Menabe;MAG;608166;
Sava;MAG;1007399;
Sofia;MAG;1280847;
Vakinankaratra;MAG;1852199;
Vatovavy Fitovinany;MAG;1454863;
