State;Population;GrowthRate
Abia;3799046;2.7
Adamawa;4338785;2.9
Akwa-Ibom;5662850;3.4
Anambra;5666457;2.8
Bauchi;6755284;3.4
Bayelsa;2332787;2.9
Benue;5840420;3
Borno;5996514;3.4
Cross River;3956503;2.9
Delta;5795489;3.2
Ebonyi;2944992;2.8
Edo;4314254;2.7
Ekiti;3335725;3.1
Enugu;4508862;3
FCT;3737320;9.3
Gombe;3328594;3.2
Imo;5564296;3.2
Jigawa;5955572;2.9
Kaduna;8397541;3
Kano;13411483;3.3
Katsina;8018283;3
Kebbi;4531129;3.1
Kogi;4538193;3
Kwara;3282142;3
Lagos;12745937;3.2
Nasarawa;2579208;3
Niger;5706245;3.4
Ogun;5328327;3.3
Ondo;4763182;3
Osun;4841182;3.2
Oyo;8077206;3.4
Plateau;4261143;2.7
Rivers;7490455;3.4
Sokoto;5117511;3
Taraba;3123172;2.9
Yobe;3389453;3.5
Zamfara;4609712;3.2
